																	
													Clearing Screen	Calculating View	Drawing Screen	Swapping Buffers	Flushing
140	Clear:	0,01640460	View:	0,00000511	Draw:	0,00001382	SwapBuffers:	0,00036199	End:	0,00000163		140	16,4046	0,0051	0,0138	0,3620	0,0016
141	Clear:	0,01625200	View:	0,00001337	Draw:	0,00000510	SwapBuffers:	0,00024651	End:	0,00000149		141	16,2520	0,0134	0,0051	0,2465	0,0015
142	Clear:	0,01628230	View:	0,00000434	Draw:	0,00000458	SwapBuffers:	0,00030039	End:	0,00000159		142	16,2823	0,0043	0,0046	0,3004	0,0016
143	Clear:	0,01639230	View:	0,00000497	Draw:	0,00001394	SwapBuffers:	0,00039924	End:	0,00000187		143	16,3923	0,0050	0,0139	0,3992	0,0019
144	Clear:	0,01629130	View:	0,00001426	Draw:	0,00000512	SwapBuffers:	0,00027160	End:	0,00000146		144	16,2913	0,0143	0,0051	0,2716	0,0015
145	Clear:	0,01625940	View:	0,00001382	Draw:	0,00000536	SwapBuffers:	0,00022665	End:	0,00000140		145	16,2594	0,0138	0,0054	0,2267	0,0014
146	Clear:	0,01637000	View:	0,00000461	Draw:	0,00001376	SwapBuffers:	0,00219331	End:	0,00000208		146	16,3700	0,0046	0,0138	2,1933	0,0021
147	Clear:	0,01434650	View:	0,00000411	Draw:	0,00000499	SwapBuffers:	0,01032370	End:	0,00000189		147	14,3465	0,0041	0,0050	10,3237	0,0019
148	Clear:	0,00624720	View:	0,00000378	Draw:	0,00000452	SwapBuffers:	0,01864280	End:	0,00000205		148	6,2472	0,0038	0,0045	18,6428	0,0021
149	Clear:	0,01475060	View:	0,00000459	Draw:	0,00001391	SwapBuffers:	0,00994599	End:	0,00000161		149	14,7506	0,0046	0,0139	9,9460	0,0016
150	Clear:	0,00650758	View:	0,00000369	Draw:	0,00000430	SwapBuffers:	0,01853160	End:	0,00000222		150	6,5076	0,0037	0,0043	18,5316	0,0022
151	Clear:	0,01491030	View:	0,00001407	Draw:	0,00000484	SwapBuffers:	0,00975926	End:	0,00000195		151	14,9103	0,0141	0,0048	9,7593	0,0019
152	Clear:	0,00670022	View:	0,00000369	Draw:	0,00000441	SwapBuffers:	0,01818060	End:	0,00000159		152	6,7002	0,0037	0,0044	18,1806	0,0016
153	Clear:	0,01532970	View:	0,00000423	Draw:	0,00000507	SwapBuffers:	0,00949212	End:	0,00000154		153	15,3297	0,0042	0,0051	9,4921	0,0015
154	Clear:	0,00703678	View:	0,00000340	Draw:	0,00000393	SwapBuffers:	0,01782920	End:	0,00000147		154	7,0368	0,0034	0,0039	17,8292	0,0015
155	Clear:	0,01551150	View:	0,00001371	Draw:	0,00000514	SwapBuffers:	0,00954972	End:	0,00000182		155	15,5115	0,0137	0,0051	9,5497	0,0018
156	Clear:	0,00697587	View:	0,00000407	Draw:	0,00000482	SwapBuffers:	0,01809350	End:	0,00001465		156	6,9759	0,0041	0,0048	18,0935	0,0147
157	Clear:	0,01527410	View:	0,00001234	Draw:	0,00000454	SwapBuffers:	0,00971139	End:	0,00001252		157	15,2741	0,0123	0,0045	9,7114	0,0125
158	Clear:	0,00685568	View:	0,00000466	Draw:	0,00001455	SwapBuffers:	0,01820520	End:	0,00001796		158	6,8557	0,0047	0,0145	18,2052	0,0180
159	Clear:	0,01506660	View:	0,00000457	Draw:	0,00000499	SwapBuffers:	0,01014750	End:	0,00000210		159	15,0666	0,0046	0,0050	10,1475	0,0021
160	Clear:	0,00642344	View:	0,00000526	Draw:	0,00000566	SwapBuffers:	0,01874360	End:	0,00000212		160	6,4234	0,0053	0,0057	18,7436	0,0021
161	Clear:	0,01462220	View:	0,00000410	Draw:	0,00000499	SwapBuffers:	0,01040400	End:	0,00000159		161	14,6222	0,0041	0,0050	10,4040	0,0016
162	Clear:	0,00605685	View:	0,00000450	Draw:	0,00000531	SwapBuffers:	0,01926510	End:	0,00000192		162	6,0569	0,0045	0,0053	19,2651	0,0019
163	Clear:	0,01415650	View:	0,00000391	Draw:	0,00000480	SwapBuffers:	0,01092150	End:	0,00001342		163	14,1565	0,0039	0,0048	10,9215	0,0134
